SimTime,power_in,p_$flow,gp_ack_bus[0]
55230.9266252,4.8508522577964026,1.0432044654614172,1
55230.9291416,4.8508524185922752,1.0432180612405859,1
55230.9341746,4.8508527401942807,1.0432452886341035,1
55230.9442405,4.8508533834394321,1.043299881275394,1
55230.9643722,4.8508546700949413,1.04340957659355,1
55231.0046358,4.8508572440713351,1.0436307124355542,1
55231.0851629,4.850862394713146,1.0440780760196653,1
55231.1176992,4.8508644768105986,1.0442603058144679,1
55231.1827718,4.8508686427870007,1.0446261374325916,1
55231.312917,4.8508769818908091,1.0453602749404571,1
55231.4912251,4.8508884225442346,1.0463657425931798,1
55231.705055,4.8509021659334772,1.0475671451553079,1
55231.7669677,4.850906150003599,1.0479143304837344,1
55231.797924,4.850908142844097,1.0480880132856167,1
55231.8598366,4.8509121301385711,1.0484360402302524,1
55231.9836619,4.8509201112172766,1.0491372226994502,1
55232.0455745,4.8509241050203542,1.0494913383788047,1
55232.1693998,4.8509320992571681,1.0502091917418828,1
55232.3406658,4.8509431711195319,1.05122352678373,1
55232.3902514,4.8509463799373354,1.0515216517425996,1
55232.4719207,4.8509516682133347,1.0520163930504434,1
55232.566,4.8509516682133347,1.0520163930504434,0
55232.5668679,4.8509578213667428,1.0525966946079783,0
55232.7567624,4.8509701443075466,1.053769851761678,0
55232.8517096,4.8509763141483599,1.0543614068515534,0
55233.0416041,4.8509886707169443,1.0555499578657381,0
55233.421393,4.8510134516075665,1.0579324547359361,0
55233.9597003,4.8510487298201488,1.061281849164621,0
55234.5647276,4.8510885930084475,1.0649613790457377,0
55234.7355891,4.8510998905905582,1.0659799620524621,0
55234.8210199,4.8511055458856776,1.0664854435575286,0
55234.924072,4.851112373387795,1.0670916852883354,0
55234.975598,4.8511157895110566,1.0674070758121623,0
55235.0135097,4.8511183040813926,1.0676511887005073,0
55235.0404716,4.8511200929492277,1.0678275555502053,0
55235.0668658,4.8511218446134139,1.0680023236580292,0
55235.1196543,4.851125349340073,1.0683577636445243,0
55235.2252311,4.8511323645302884,1.0690899725676222,0
55235.4363847,4.8511464188154605,1.0706237227962649,0
55235.7604106,4.8511680507587718,1.0731010045692555,0
55236.1208071,4.8511922061758455,1.0759201449286513,0
55236.4615256,4.8512151342688119,1.0784811122969178,0
55236.5887837,4.8512237198716219,1.0793762916313772,0
55236.8012907,4.8512380811103872,1.0807636735753126,0
55236.8113817,4.8512387637939867,1.0808261194696476,0
55236.8315638,4.8512401293490761,1.0809500396914764,0
55236.8719279,4.8512428612009701,1.0811939730355058,0
55236.9526562,4.8512483277909846,1.0816657700644798,0
55237.1086063,4.8512588983841658,1.0825140232549164,0
55237.417679,4.8512798830412791,1.083941771110104,0
55237.7522552,4.8513026425495163,1.0851043749420546,0
55238.1974785,4.8513329754469687,1.0860412230710095,0
55238.3749179,4.8513450742223014,1.0862235167958618,0
55238.7297966,4.8513692758350242,1.0862731744928487,0
55239.439554,4.8514176425538285,1.0852008565950431,0
55239.606355,4.8514289964050983,1.084734310736057,0
55239.9399571,4.8514516773978809,1.0836023983960952,0
55240.0406173,4.8514585134381516,1.0832139130982554,0
55240.2419378,4.851472173297017,1.0823899550077267,0
55240.5786845,4.851494983334204,1.0809202150865802,0
55240.673461,4.8515013941566965,1.0804923744129897,0
55240.863014,4.8515142035315968,1.0796271829913973,0
55241.1694706,4.8515348778283061,1.0782084220980097,0
55241.6011258,4.8515639238349921,1.076179646915939,0
55242.1509477,4.8516007932146179,1.0735565308785566,0
55242.3521211,4.8516142471169967,1.0725875182913034,0
55242.7544679,4.8516410961313987,1.0706375174561573,0
55243.5591615,4.8516945569524559,1.0666986069455415,0
55244.7207451,4.8517711647083726,1.0609463187557628,0
55245.0468314,4.851792550047004,1.0593206738588707,0
55245.699004,4.8518351612189532,1.0560601458145875,0
55247.0033493,4.8519197432185193,1.049512640893514,0
55248.7957727,4.8520345775371192,1.040480508854781,0
55250.9103491,4.8521679648749654,1.0298016742603282,0
55253.4317282,4.8523240574932522,1.0170587163918432,0
55256.6713222,4.8525198923687327,1.0006870196644955,0
55261.2209887,4.852785961348892,0.9777081851106314,0
55268.2379537,4.8531758181845399,0.94230560668325369,0
55280.6701898,4.8538055653051373,0.87969695763386169,0
